CustomerID,Lookalikes
C0001,"[('C0152', 0.9920393918649758), ('C0174', 0.9690040056134134), ('C0004', 0.7852539609231888)]"
C0002,"[('C0159', 0.9865445042779168), ('C0134', 0.9499998552827441), ('C0106', 0.7926112565992187)]"
C0003,"[('C0031', 0.9576068305908076), ('C0195', 0.9498466693637435), ('C0129', 0.921666273065118)]"
C0004,"[('C0148', 0.8708532445230792), ('C0113', 0.7884873363689915), ('C0001', 0.7852539609231888)]"
C0005,"[('C0007', 0.971691831475196), ('C0140', 0.945265855235087), ('C0128', 0.7823560225502998)]"
C0006,"[('C0076', 0.8885647671233753), ('C0187', 0.8875699231684305), ('C0137', 0.7230174834137534)]"
C0007,"[('C0005', 0.971691831475196), ('C0140', 0.9087074009374311), ('C0128', 0.7512948155909598)]"
C0008,"[('C0046', 0.933199369785252), ('C0098', 0.9087051005488757), ('C0024', 0.8834335852179289)]"
C0009,"[('C0198', 0.976231095360932), ('C0066', 0.767852990996382), ('C0166', 0.6635541479281654)]"
C0010,"[('C0132', 0.8485427113353371), ('C0061', 0.7618571249408829), ('C0135', 0.6093683532125918)]"
C0011,"[('C0107', 0.9095797468010085), ('C0155', 0.8206175367182019), ('C0099', 0.7259935946223961)]"
C0012,"[('C0148', 0.9088419772176753), ('C0004', 0.7211540195897981), ('C0188', 0.7207447226710587)]"
C0013,"[('C0087', 0.9771602187303604), ('C0126', 0.9370318743744526), ('C0099', 0.9231539054868672)]"
C0014,"[('C0060', 0.8540805191625365), ('C0151', 0.7551800746971336), ('C0089', 0.7429602377384511)]"
C0015,"[('C0131', 0.9222018845082145), ('C0160', 0.7008739120095497), ('C0185', 0.6954101110909275)]"
C0016,"[('C0183', 0.9202820134819937), ('C0050', 0.8197138961403079), ('C0042', 0.7383412813512271)]"
C0017,"[('C0041', 0.961731613876475), ('C0075', 0.9570239077767516), ('C0182', 0.9480681074129496)]"
C0018,"[('C0047', 0.9098286604174273), ('C0065', 0.8856239702650165), ('C0035', 0.836816725455953)]"
C0019,"[('C0070', 0.9026994873617045), ('C0063', 0.7276636500682822), ('C0119', 0.7166552927787166)]"
C0020,"[('C0058', 0.7410501011590873), ('C0050', 0.7217428262259177), ('C0072', 0.6762079029349637)]"
